date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:24:49	166347/166347	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2013:24:46%20GMT	https://www.forefrontcertification.co.uk/training/business-improvement/measurement-systems-analysis-msa/	D:/Website_download/forefront/www.forefrontcertification.co.uk/training/business-improvement/measurement-systems-analysis-msa/index.html	(from https://www.forefrontcertification.co.uk/)
20:24:49	8566/8566	---M--	200	added ('OK')	application/javascript	etag:%227143576-2176-59770501234d9%22	https://www.forefrontcertification.co.uk/wp-includes/js/jquery/ui/accordion.min.js?ver=1.11.4	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-includes/js/jquery/ui/accordion.min.3be899.delayed	(from https://www.forefrontcertification.co.uk/)
20:24:53	165728/165728	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2013:24:50%20GMT	https://www.forefrontcertification.co.uk/training/as-9100-aerospace-quality-management/1-day-as-91002016-awareness/	D:/Website_download/forefront/www.forefrontcertification.co.uk/training/as-9100-aerospace-quality-management/1-day-as-91002016-awareness/index.html	(from https://www.forefrontcertification.co.uk/)
20:24:53	202155/202155	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2013:24:50%20GMT	https://www.forefrontcertification.co.uk/training/as-9100-aerospace-quality-management/	D:/Website_download/forefront/www.forefrontcertification.co.uk/training/as-9100-aerospace-quality-management/index.html	(from https://www.forefrontcertification.co.uk/)
20:24:53	164607/164607	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2013:24:50%20GMT	https://www.forefrontcertification.co.uk/consultants/	D:/Website_download/forefront/www.forefrontcertification.co.uk/consultants/index.html	(from https://www.forefrontcertification.co.uk/)
20:24:53	183582/183582	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2013:24:50%20GMT	https://www.forefrontcertification.co.uk/training/as-9100-aerospace-quality-management/2-day-as-91002016-internal-auditor-course/	D:/Website_download/forefront/www.forefrontcertification.co.uk/training/as-9100-aerospace-quality-management/2-day-as-91002016-internal-auditor-course/index.html	(from https://www.forefrontcertification.co.uk/)
20:24:55	196980/196980	---M--	200	added ('OK')	application/javascript	etag:%2271c3cd4-30174-57fba31efd880%22	https://www.forefrontcertification.co.uk/wp-content/themes/webkrafts-forefront/js/plugins.js?ver=21.0.4	D:/Website_download/forefront/www.forefrontcertification.co.uk/wp-content/themes/webkrafts-forefront/js/plugins126c.js	(from https://www.forefrontcertification.co.uk/)
20:24:57	168786/168786	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2013:24:54%20GMT	https://www.forefrontcertification.co.uk/free-quotation/	D:/Website_download/forefront/www.forefrontcertification.co.uk/free-quotation/index.html	(from https://www.forefrontcertification.co.uk/)
20:24:58	176535/176535	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2013:24:55%20GMT	https://www.forefrontcertification.co.uk/cart/	D:/Website_download/forefront/www.forefrontcertification.co.uk/cart/index.html	(from https://www.forefrontcertification.co.uk/)
20:24:59	191300/191300	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2013:24:55%20GMT	https://www.forefrontcertification.co.uk/terms-and-conditions/	D:/Website_download/forefront/www.forefrontcertification.co.uk/terms-and-conditions/index.html	(from https://www.forefrontcertification.co.uk/)
